rsi,rsi_umbral,rsi_distancia,rsi_distancia_rel,volatilidad,tp_pct,sl_pct,tp_sl_ratio,vol_tp_interac,spread_tp_sl,log_precio,monto,es_btc,es_eth,hora,mes,es_ny_night,ganancia_neta,target
39.5,40.0,0.5,0.0125,4.09,2.04,7.1092094784451,0.28695173579920746,8.3436,11.35797578965689,7.4183188684201316,5.0,0,1,3,7,1,0.01,1
27.2,30.0,2.8000000000000007,0.09333333333333335,1.51,1.21,2.687079854036567,0.4503029555233805,1.8271,2.7195584176632965,11.596347073109301,5.0,1,0,7,7,0,0.02,1
38.2,40.0,1.7999999999999972,0.04499999999999993,4.0,3.2,6.971424682601491,0.459016649492923,12.8,7.194331620490127,7.848929824678738,5.0,0,1,11,7,0,0.02,1
22.6,30.0,7.399999999999999,0.24666666666666662,2.1,1.68,3.716669813569462,0.45201755449633024,3.528,3.7790949935500127,11.589672686952374,5.0,1,0,16,7,0,0.02,1
38.4,40.0,1.6000000000000014,0.040000000000000036,4.88,3.91,8.457365782374836,0.46231889463128656,19.0808,8.787692891689185,7.989726537235422,5.0,0,1,22,7,1,0.02,1
38.1,40.0,1.8999999999999986,0.047499999999999966,4.99,3.99,8.640224330368017,0.4617935654721655,19.910100000000003,8.985267563325861,7.993906921924913,5.0,0,1,7,7,0,-0.04,0
38.4,40.0,1.6000000000000014,0.040000000000000036,4.98,3.98,8.61951756186473,0.4617427798521677,19.820400000000003,8.962879486391422,7.982177328849029,5.0,0,1,14,7,0,0.02,1
40.0,40.0,0.0,0.0,4.78,3.83,8.292564722216767,0.4618595245616805,18.3074,8.60988620561867,7.986596739848458,5.0,0,1,17,7,0,0.03,1
33.9,40.0,6.100000000000001,0.15250000000000002,4.91,3.92,8.497407325151363,0.46131718181818165,19.2472,8.830908178625188,8.002861428320958,5.0,0,1,18,7,0,0.01,1
39.8,40.0,0.20000000000000284,0.005000000000000071,5.18,4.15,8.783366455771146,0.4724839867375938,21.497,9.147660424020026,8.00647756160069,5.0,0,1,19,7,0,0.01,1
39.9,40.0,0.10000000000000142,0.0025000000000000356,5.13,4.1,8.742757969423954,0.4689595679462853,21.032999999999998,9.101325477666814,8.010024207320457,5.0,0,1,21,7,1,-0.06,0
26.3,30.0,3.6999999999999993,0.12333333333333331,2.91,2.33,5.116305487483064,0.4554067394334246,6.7803,5.235352886151178,11.677254879550354,5.0,1,0,15,7,0,0.01,1
29.1,40.0,10.899999999999999,0.27249999999999996,6.21,4.97,9.499324063344917,0.5231951207115632,30.863699999999998,9.971590189182862,8.175150669521816,5.0,0,1,19,7,0,0.02,1
39.6,40.0,0.3999999999999986,0.009999999999999964,6.1,4.88,9.422804163695076,0.5178925418828133,29.767999999999997,9.882896764252697,8.180180808942515,5.0,0,1,2,7,1,0.03,1
31.2,40.0,8.8,0.22000000000000003,5.94,4.75,9.308547902094144,0.5102836715199578,28.215000000000003,9.75077617837991,8.172729104865471,5.0,0,1,17,7,0,0.04,1
38.5,40.0,1.5,0.0375,6.86,5.0,9.523663873085797,0.5250080291189374,34.300000000000004,9.999839420199876,8.225893918107637,5.0,0,1,19,7,0,0.02,1
26.3,30.0,3.6999999999999993,0.12333333333333331,2.56,2.05,4.509554048320519,0.4545904047349152,5.247999999999999,4.601785198145366,11.669411130880173,5.0,1,0,20,7,0,0.01,1
32.8,40.0,7.200000000000003,0.18000000000000008,6.33,5.0,9.523930688786542,0.5249933208656159,31.65,10.000133584472135,8.227629349546438,5.0,0,1,0,7,1,0.06,1
28.7,30.0,1.3000000000000007,0.043333333333333356,2.44,1.95,4.306253837964347,0.4528297850926977,4.758,4.390278890628563,11.666118629383025,5.0,1,0,4,7,1,0.03,1
